problem,algorithm,layer,depolarizing_noise,thermal_relaxation_noise,relative_performance
Max-Cut,WSQAOA,2,0.0,0.5,0.9746767056445662
Max-Cut,WSQAOA,2,0.0,0.75,0.9670815376481333
Max-Cut,WSQAOA,2,0.0,1.0,0.959773314636779
Max-Cut,WSQAOA,2,0.25,0.0,0.9780777457013573
Max-Cut,WSQAOA,2,0.25,0.25,0.9710870074622577
Max-Cut,WSQAOA,2,0.25,0.5,0.9678632804958442
Max-Cut,WSQAOA,2,0.25,0.75,0.9605014688925775
Max-Cut,WSQAOA,2,0.25,1.0,0.9520119027447363
Max-Cut,WSQAOA,2,0.5,0.0,0.9771344311919065
Max-Cut,WSQAOA,2,0.5,0.25,0.9673075136699644
Max-Cut,WSQAOA,2,0.5,0.5,0.9659647465871689
Max-Cut,WSQAOA,2,0.5,0.75,0.9558736301695402
Max-Cut,WSQAOA,2,0.5,1.0,0.9520712424625037
Max-Cut,WSQAOA,2,0.75,0.0,0.9699585956206169
Max-Cut,WSQAOA,2,0.75,0.25,0.9626556030427933
Max-Cut,WSQAOA,2,0.75,0.5,0.9607706799663672
Max-Cut,WSQAOA,2,0.75,0.75,0.9534023292064868
Max-Cut,WSQAOA,2,0.75,1.0,0.9487788723836326
Max-Cut,WSQAOA,2,1.0,0.0,0.9647677283349966
Max-Cut,WSQAOA,2,1.0,0.25,0.9617920574978139
Max-Cut,WSQAOA,2,1.0,0.5,0.9526312491957485
Max-Cut,WSQAOA,2,1.0,0.75,0.9478591134336329
Max-Cut,WSQAOA,2,1.0,1.0,0.942889860478356
Max-Cut,WSQAOA,3,0.0,0.0,0.9900166433882975
Max-Cut,WSQAOA,3,0.0,0.25,0.9858382778960718
Max-Cut,WSQAOA,3,0.0,0.5,0.97402406815241
Max-Cut,WSQAOA,3,0.0,0.75,0.9730888780201032
Max-Cut,WSQAOA,3,0.0,1.0,0.9655563560755476
Max-Cut,WSQAOA,3,0.25,0.0,0.9897898059698153
Max-Cut,WSQAOA,3,0.25,0.25,0.979180719639711
Max-Cut,WSQAOA,3,0.25,0.5,0.975348708668694
Max-Cut,WSQAOA,3,0.25,0.75,0.9690450698282088
Max-Cut,WSQAOA,3,0.25,1.0,0.9653859918718297
Max-Cut,WSQAOA,3,0.5,0.0,0.9796684446164227
Max-Cut,WSQAOA,3,0.5,0.25,0.9750692657299521
Max-Cut,WSQAOA,3,0.5,0.5,0.9654750513190161
Max-Cut,WSQAOA,3,0.5,0.75,0.966254732458547
Max-Cut,WSQAOA,3,0.5,1.0,0.9590641943502021
Max-Cut,WSQAOA,3,0.75,0.0,0.9780504570771026
Max-Cut,WSQAOA,3,0.75,0.25,0.9717599204228696
Max-Cut,WSQAOA,3,0.75,0.5,0.9663957530687443
Max-Cut,WSQAOA,3,0.75,0.75,0.9602518198560422
Max-Cut,WSQAOA,3,0.75,1.0,0.9562179044368359
Max-Cut,WSQAOA,3,1.0,0.0,0.9744986397897344
Max-Cut,WSQAOA,3,1.0,0.25,0.9673943455460068
Max-Cut,WSQAOA,3,1.0,0.5,0.9629557188473611
Max-Cut,WSQAOA,3,1.0,0.75,0.958498405775797
Max-Cut,WSQAOA,3,1.0,1.0,0.9552670720410521
Max-Cut,WS-Init-QAOA,2,0.0,0.0,1.0414509543673414
Max-Cut,WS-Init-QAOA,2,0.0,0.25,1.0346724171943502
Max-Cut,WS-Init-QAOA,2,0.0,0.5,1.0249267811842058
Max-Cut,WS-Init-QAOA,2,0.0,0.75,1.0179304414223365
Max-Cut,WS-Init-QAOA,2,0.0,1.0,1.01098825585565
Max-Cut,WS-Init-QAOA,2,0.25,0.0,1.0351917569244011
Max-Cut,WS-Init-QAOA,2,0.25,0.25,1.0282264939827526
Max-Cut,WS-Init-QAOA,2,0.25,0.5,1.0183917334661232
Max-Cut,WS-Init-QAOA,2,0.25,0.75,1.0137843866860066
Max-Cut,WS-Init-QAOA,2,0.25,1.0,1.0064837286064756
Max-Cut,WS-Init-QAOA,2,0.5,0.0,1.028981127195781
Max-Cut,WS-Init-QAOA,2,0.5,0.25,1.021678963542972
Max-Cut,WS-Init-QAOA,2,0.5,0.5,1.0147350140789102
Max-Cut,WS-Init-QAOA,2,0.5,0.75,1.0100531364812473
Max-Cut,WS-Init-QAOA,2,0.5,1.0,1.0047032025762113
Max-Cut,WS-Init-QAOA,2,0.75,0.0,1.0258017224512748
Max-Cut,WS-Init-QAOA,2,0.75,0.25,1.0178978253165398
Max-Cut,WS-Init-QAOA,2,0.75,0.5,1.0114946167597645
Max-Cut,WS-Init-QAOA,2,0.75,0.75,1.0045401604991846
Max-Cut,WS-Init-QAOA,2,0.75,1.0,0.9987176061008886
