problem,algorithm,layer,depolarizing_noise,thermal_relaxation_noise,relative_performance
Vertex Cover,QAOA,3,0.5,0.5,1.0001380291361586
Vertex Cover,QAOA,3,0.5,0.75,0.9964847305828194
Vertex Cover,QAOA,3,0.5,1.0,0.993782423667248
Vertex Cover,QAOA,3,0.75,0.0,1.0104681706487189
Vertex Cover,QAOA,3,0.75,0.25,0.9986825347487371
Vertex Cover,QAOA,3,0.75,0.5,1.0010660252391446
Vertex Cover,QAOA,3,0.75,0.75,0.9959695791030998
Vertex Cover,QAOA,3,0.75,1.0,0.9887375549573356
Vertex Cover,QAOA,3,1.0,0.0,1.0006401120674677
Vertex Cover,QAOA,3,1.0,0.25,0.9942454754981751
Vertex Cover,QAOA,3,1.0,0.5,0.9932171762148728
Vertex Cover,QAOA,3,1.0,0.75,0.9921907964532977
Vertex Cover,QAOA,3,1.0,1.0,0.9828541302198772
Vertex Cover,WSQAOA,2,0.0,0.0,1.0143568357279655
Vertex Cover,WSQAOA,2,0.0,0.25,1.0077240119901767
Vertex Cover,WSQAOA,2,0.0,0.5,1.0056716003618766
Vertex Cover,WSQAOA,2,0.0,0.75,0.9978469511247493
Vertex Cover,WSQAOA,2,0.0,1.0,0.9946340957806514
Vertex Cover,WSQAOA,2,0.25,0.0,1.0106061094328054
Vertex Cover,WSQAOA,2,0.25,0.25,1.0036021622685245
Vertex Cover,WSQAOA,2,0.25,0.5,1.0016089357335964
Vertex Cover,WSQAOA,2,0.25,0.75,0.9969313244426001
Vertex Cover,WSQAOA,2,0.25,1.0,0.9911740838073124
Vertex Cover,WSQAOA,2,0.5,0.0,1.0088534865834564
Vertex Cover,WSQAOA,2,0.5,0.25,1.0011147989109361
Vertex Cover,WSQAOA,2,0.5,0.5,0.9978558486072243
Vertex Cover,WSQAOA,2,0.5,0.75,0.993720857021862
Vertex Cover,WSQAOA,2,0.5,1.0,0.9884622251424535
Vertex Cover,WSQAOA,2,0.75,0.0,1.0039022786297405
Vertex Cover,WSQAOA,2,0.75,0.25,1.0010363909951032
Vertex Cover,WSQAOA,2,0.75,0.5,0.9944126509634661
Vertex Cover,WSQAOA,2,0.75,0.75,0.9915319456085905
Vertex Cover,WSQAOA,2,0.75,1.0,0.9876899690060874
Vertex Cover,WSQAOA,2,1.0,0.0,0.9970809793941727
Vertex Cover,WSQAOA,2,1.0,0.25,0.9984573012386226
Vertex Cover,WSQAOA,2,1.0,0.5,0.9928755391739842
Vertex Cover,WSQAOA,2,1.0,0.75,0.9917290093138307
Vertex Cover,WSQAOA,2,1.0,1.0,0.9863839097781041
Vertex Cover,WSQAOA,3,0.0,0.0,1.0144811361749635
Vertex Cover,WSQAOA,3,0.0,0.25,1.0118109355425773
Vertex Cover,WSQAOA,3,0.0,0.5,0.9997047057560633
Vertex Cover,WSQAOA,3,0.0,0.75,1.001234324260953
Vertex Cover,WSQAOA,3,0.0,1.0,0.9968604503190958
Vertex Cover,WSQAOA,3,0.25,0.0,1.0107611568872947
Vertex Cover,WSQAOA,3,0.25,0.25,1.0063048529345362
Vertex Cover,WSQAOA,3,0.25,0.5,0.9990699157997125
Vertex Cover,WSQAOA,3,0.25,0.75,0.9962508260244923
Vertex Cover,WSQAOA,3,0.25,1.0,0.9965078805138936
Vertex Cover,WSQAOA,3,0.5,0.0,1.0047135256614679
Vertex Cover,WSQAOA,3,0.5,0.25,1.005231078072289
Vertex Cover,WSQAOA,3,0.5,0.5,0.998269921666981
Vertex Cover,WSQAOA,3,0.5,0.75,0.9948507023601799
Vertex Cover,WSQAOA,3,0.5,1.0,0.9933018978235432
Vertex Cover,WSQAOA,3,0.75,0.0,1.0008541255367989
Vertex Cover,WSQAOA,3,0.75,0.25,0.995509888417142
Vertex Cover,WSQAOA,3,0.75,0.5,0.9963940918003791
Vertex Cover,WSQAOA,3,0.75,0.75,0.990314361365093
Vertex Cover,WSQAOA,3,0.75,1.0,0.9896179711154192
Vertex Cover,WSQAOA,3,1.0,0.0,1.0023094169944913
Vertex Cover,WSQAOA,3,1.0,0.25,0.9947798007134339
Vertex Cover,WSQAOA,3,1.0,0.5,0.9938509393445484
Vertex Cover,WSQAOA,3,1.0,0.75,0.9900062216189816
Vertex Cover,WSQAOA,3,1.0,1.0,0.9853825454708435
Vertex Cover,WS-Init-QAOA,2,0.0,0.0,1.0725860410693036
Vertex Cover,WS-Init-QAOA,2,0.0,0.25,1.0555663120134273
Vertex Cover,WS-Init-QAOA,2,0.0,0.5,1.045462708555518
Vertex Cover,WS-Init-QAOA,2,0.0,0.75,1.0335300079383438
Vertex Cover,WS-Init-QAOA,2,0.0,1.0,1.0239407701934795
Vertex Cover,WS-Init-QAOA,2,0.25,0.0,1.063610739071231
Vertex Cover,WS-Init-QAOA,2,0.25,0.25,1.05329067762544
Vertex Cover,WS-Init-QAOA,2,0.25,0.5,1.0408473489081569
Vertex Cover,WS-Init-QAOA,2,0.25,0.75,1.029450357677169
Vertex Cover,WS-Init-QAOA,2,0.25,1.0,1.0216792091322218
Vertex Cover,WS-Init-QAOA,2,0.5,0.0,1.0545629349360794
Vertex Cover,WS-Init-QAOA,2,0.5,0.25,1.046210208274115
Vertex Cover,WS-Init-QAOA,2,0.5,0.5,1.0339121626351506
Vertex Cover,WS-Init-QAOA,2,0.5,0.75,1.0298499474282816
Vertex Cover,WS-Init-QAOA,2,0.5,1.0,1.0177626737130947
Vertex Cover,WS-Init-QAOA,2,0.75,0.0,1.0505074656478919
Vertex Cover,WS-Init-QAOA,2,0.75,0.25,1.0410451887093057
Vertex Cover,WS-Init-QAOA,2,0.75,0.5,1.0307615408419912
Vertex Cover,WS-Init-QAOA,2,0.75,0.75,1.0230381739925434
Vertex Cover,WS-Init-QAOA,2,0.75,1.0,1.0142661826301975
Vertex Cover,WS-Init-QAOA,2,1.0,0.0,1.0423400988821243
Vertex Cover,WS-Init-QAOA,2,1.0,0.25,1.0362097300803952
Vertex Cover,WS-Init-QAOA,2,1.0,0.5,1.0259911732847082
Vertex Cover,WS-Init-QAOA,2,1.0,0.75,1.0168267218498883
Vertex Cover,WS-Init-QAOA,2,1.0,1.0,1.0131154309529027
Vertex Cover,WS-Init-QAOA,3,0.0,0.0,1.0102052501309857
Vertex Cover,WS-Init-QAOA,3,0.0,0.25,1.0087544467188458
Vertex Cover,WS-Init-QAOA,3,0.0,0.5,1.000503805915337
Vertex Cover,WS-Init-QAOA,3,0.0,0.75,0.9978875067731908
Vertex Cover,WS-Init-QAOA,3,0.0,1.0,0.9919091326784925
Vertex Cover,WS-Init-QAOA,3,0.25,0.0,1.0058924142054784
Vertex Cover,WS-Init-QAOA,3,0.25,0.25,0.9990507346890318
Vertex Cover,WS-Init-QAOA,3,0.25,0.5,0.9943648822345648
Vertex Cover,WS-Init-QAOA,3,0.25,0.75,0.9930278322588719
Vertex Cover,WS-Init-QAOA,3,0.25,1.0,0.9865053683996289
Vertex Cover,WS-Init-QAOA,3,0.5,0.0,1.0043021023546042
Vertex Cover,WS-Init-QAOA,3,0.5,0.25,0.9976766371552939
Vertex Cover,WS-Init-QAOA,3,0.5,0.5,0.9963484967706904
Vertex Cover,WS-Init-QAOA,3,0.5,0.75,0.9903551432131227
Vertex Cover,WS-Init-QAOA,3,0.5,1.0,0.9842289026488306
Vertex Cover,WS-Init-QAOA,3,0.75,0.0,1.002208714482551
Vertex Cover,WS-Init-QAOA,3,0.75,0.25,0.9967346398351687
Vertex Cover,WS-Init-QAOA,3,0.75,0.5,0.9921148251987125
Vertex Cover,WS-Init-QAOA,3,0.75,0.75,0.9849349944333001
Vertex Cover,WS-Init-QAOA,3,0.75,1.0,0.9859320003262652
Vertex Cover,WS-Init-QAOA,3,1.0,0.0,0.9950769260210494
Vertex Cover,WS-Init-QAOA,3,1.0,0.25,0.9920670545386879
Vertex Cover,WS-Init-QAOA,3,1.0,0.5,0.9842430168209114
Vertex Cover,WS-Init-QAOA,3,1.0,0.75,0.9845314152030551
Vertex Cover,WS-Init-QAOA,3,1.0,1.0,0.9816602838948141
Vertex Cover,RQAOA,2,0.0,0.0,1.0730775694540118
Vertex Cover,RQAOA,2,0.0,0.25,1.0830813145074996
Vertex Cover,RQAOA,2,0.0,0.5,1.072997639066108
Vertex Cover,RQAOA,2,0.0,0.75,1.0779161586851365
Vertex Cover,RQAOA,2,0.0,1.0,1.0638642653210837
Vertex Cover,RQAOA,2,0.25,0.0,1.0814895490526595
Vertex Cover,RQAOA,2,0.25,0.25,1.0837835533573212
Vertex Cover,RQAOA,2,0.25,0.5,1.0849223314859935
Vertex Cover,RQAOA,2,0.25,0.75,1.0766843839627889
Vertex Cover,RQAOA,2,0.25,1.0,1.0701419013278033
Vertex Cover,RQAOA,2,0.5,0.0,1.0768912296613058
Vertex Cover,RQAOA,2,0.5,0.25,1.0753386782037915
Vertex Cover,RQAOA,2,0.5,0.5,1.076617697916639
Vertex Cover,RQAOA,2,0.5,0.75,1.064598011042618
Vertex Cover,RQAOA,2,0.5,1.0,1.0753640137708058
Vertex Cover,RQAOA,2,0.75,0.0,1.068218112863567
Vertex Cover,RQAOA,2,0.75,0.25,1.0792948392755577
Vertex Cover,RQAOA,2,0.75,0.5,1.0860539267606282
Vertex Cover,RQAOA,2,0.75,0.75,1.0759144502393776
Vertex Cover,RQAOA,2,0.75,1.0,1.0587840937758066
Vertex Cover,RQAOA,2,1.0,0.0,1.0796544459029485
Vertex Cover,RQAOA,2,1.0,0.25,1.06775581893375
Vertex Cover,RQAOA,2,1.0,0.5,1.0708971054622316
Vertex Cover,RQAOA,2,1.0,0.75,1.0642310319179562
Vertex Cover,RQAOA,2,1.0,1.0,1.0575270405843593
Vertex Cover,RQAOA,3,0.0,0.0,1.0144354333806753
Vertex Cover,RQAOA,3,0.0,0.25,1.0124415881504498
Vertex Cover,RQAOA,3,0.0,0.5,1.0126248945696172
Vertex Cover,RQAOA,3,0.0,0.75,1.0120986800696214
Vertex Cover,RQAOA,3,0.0,1.0,1.006582221425893
Vertex Cover,RQAOA,3,0.25,0.0,1.0132799490787732
Vertex Cover,RQAOA,3,0.25,0.25,1.0107138604876766
Vertex Cover,RQAOA,3,0.25,0.5,1.014341622993842
Vertex Cover,RQAOA,3,0.25,0.75,1.0105453554705905
Vertex Cover,RQAOA,3,0.25,1.0,1.0110576170892762
Vertex Cover,RQAOA,3,0.5,0.0,1.0142924679606018
Vertex Cover,RQAOA,3,0.5,0.25,1.0175503664769512
Vertex Cover,RQAOA,3,0.5,0.5,1.0100707849593304
Vertex Cover,RQAOA,3,0.5,0.75,1.006214325279457
Vertex Cover,RQAOA,3,0.5,1.0,1.011516518174962
Vertex Cover,RQAOA,3,0.75,0.0,1.0182552235225049
Vertex Cover,RQAOA,3,0.75,0.25,1.0072922066254122
Vertex Cover,RQAOA,3,0.75,0.5,1.0081324608258684
Vertex Cover,RQAOA,3,0.75,0.75,1.0071605734670597
Vertex Cover,RQAOA,3,0.75,1.0,1.0078205618149136
Vertex Cover,RQAOA,3,1.0,0.0,1.012195326495552
Vertex Cover,RQAOA,3,1.0,0.25,1.0163370929847306
Vertex Cover,RQAOA,3,1.0,0.5,1.0104451486611135
Vertex Cover,RQAOA,3,1.0,0.75,1.0016619095151542
Vertex Cover,RQAOA,3,1.0,1.0,1.0044381215125409
